"postcode sector","All categories: Passports held","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Iraq","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Japan","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Afghanistan","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Malaysia","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Singapore","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: Canada","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: New Zealand","Antarctica and Oceania: Other Oceania","British Overseas Territories","No passport held"

"B17  0",6434,4682,4330,122,230,219,119,22,14,15,6,9,53,100,7,36,18,39,11,1,10,102,18,45,6,34,5,39,6,0,5,11,17,478,38,23,5,10,225,162,3,14,46,140,10,4,97,22,6,1,70,27,17,5,21,5,32,17,3,14,4,2,9,8,1,10,10,9,1,0,0,1130
"B17  8",7780,6336,5924,93,319,300,154,10,30,20,4,11,79,146,8,72,4,62,19,9,10,110,9,52,10,34,8,49,3,0,0,31,15,375,23,9,12,2,34,28,0,2,4,295,10,8,230,42,5,0,22,6,12,2,2,1,66,15,3,12,0,11,40,35,5,11,11,10,1,0,0,882
"B17  9",6854,5760,5522,93,145,137,64,4,13,15,4,7,21,73,5,42,4,22,8,0,8,36,4,11,1,7,3,21,3,0,4,7,7,136,12,7,0,5,24,19,0,1,4,80,0,8,60,8,4,0,20,11,2,1,6,0,40,22,4,18,1,2,15,8,7,25,22,17,5,3,0,857
"B18  4",6931,4855,4509,37,309,294,115,8,12,3,8,1,83,179,21,96,7,55,15,5,10,112,4,78,7,34,37,30,1,1,9,14,5,434,20,8,4,8,13,13,0,0,0,376,24,17,182,141,6,6,25,1,19,0,5,0,139,1,0,1,0,2,136,132,4,1,1,0,1,0,2,1388
"B18  5",9444,7542,7086,98,358,337,206,18,23,17,16,1,131,131,2,76,18,35,21,5,16,167,10,87,10,37,40,70,9,4,7,31,19,462,24,6,14,4,35,31,2,0,2,311,23,6,215,55,10,2,92,21,61,2,8,0,166,10,5,5,1,2,153,142,11,3,3,2,1,0,3,1101
"B18  6",5604,4799,4558,47,194,192,77,8,12,5,4,6,42,115,9,79,5,22,2,0,2,39,1,22,1,14,7,16,1,0,2,11,2,184,6,3,2,1,47,37,0,1,9,117,4,5,91,16,0,1,14,6,1,1,6,0,40,9,0,9,0,4,27,25,2,7,7,4,3,0,0,535
"B18  7",2958,2195,2022,41,132,129,94,7,3,1,2,6,75,35,2,24,0,9,3,0,3,43,2,31,5,12,14,10,1,0,0,8,1,112,4,0,2,2,16,13,1,2,0,81,10,4,42,24,0,1,11,2,6,0,3,0,48,1,0,1,0,1,46,43,3,0,0,0,0,0,0,560
"B19  1",8414,6786,6494,46,246,234,173,14,9,6,14,6,124,61,5,33,5,18,12,0,12,106,12,49,9,16,24,45,1,8,2,14,20,553,5,1,3,1,12,9,0,0,3,518,14,212,87,194,3,8,18,6,4,0,8,0,142,8,1,7,0,1,133,129,4,1,1,1,0,0,1,825
"B19  2",8095,6207,5714,58,435,405,351,18,12,7,15,5,294,54,5,29,4,16,30,0,30,158,15,80,9,28,43,63,0,5,3,37,18,321,21,3,8,10,9,9,0,0,0,273,9,110,55,91,0,8,17,2,1,0,14,1,108,4,3,1,0,0,104,97,7,1,1,1,0,0,0,1300
"B19  3",7648,6143,5719,81,343,331,213,17,14,6,10,8,158,118,7,75,13,23,12,0,12,142,14,78,4,29,45,50,3,0,3,28,16,196,25,11,6,8,28,25,2,1,0,134,3,23,63,44,1,0,9,4,0,0,5,0,84,16,9,7,1,4,63,55,8,2,2,1,1,0,2,1079
"B2   4",11497,10156,9784,73,299,288,104,16,15,16,18,5,34,184,20,97,13,54,11,3,8,105,6,64,11,37,16,35,3,0,4,15,13,376,32,12,0,20,103,80,3,5,15,199,5,15,114,60,3,2,39,15,3,0,21,3,54,8,4,4,2,10,34,31,3,9,9,2,7,0,0,797
"B2   5",1343,1149,1062,11,76,72,37,3,3,11,1,6,13,35,2,25,2,6,4,1,3,26,0,23,2,17,4,3,0,0,0,2,1,56,5,0,1,4,21,17,0,1,3,9,0,0,7,2,0,0,21,4,1,3,13,0,11,5,1,4,0,0,6,6,0,0,0,0,0,0,0,101
"B20  1",5641,4542,4286,50,206,194,62,11,13,1,3,1,33,132,6,96,2,28,12,0,12,56,5,32,3,17,12,19,0,0,3,6,10,377,13,1,3,9,13,9,1,0,3,345,8,8,297,29,3,0,6,3,2,0,1,0,57,10,4,6,1,3,43,40,3,0,0,0,0,0,0,609
"B20  2",8556,6743,6268,75,400,394,117,21,12,16,5,2,61,277,11,195,6,65,6,0,6,135,3,72,6,46,20,60,9,0,4,30,17,530,9,0,9,0,36,31,1,0,4,457,9,18,347,71,11,1,28,4,7,1,16,0,141,8,3,5,0,5,128,120,8,5,4,3,1,1,0,1002
"B20  3",12815,9983,9403,87,493,464,256,28,27,19,8,7,167,208,7,162,10,29,29,0,29,238,15,148,14,94,40,75,6,5,8,26,30,918,11,4,7,0,66,56,1,1,8,796,8,105,366,301,11,5,44,5,16,0,23,1,211,10,6,4,2,4,195,183,12,5,2,0,2,3,1,1459
"B21  0",10397,7515,7030,47,438,436,140,23,24,9,5,2,77,296,30,151,34,81,2,0,2,114,3,65,2,17,46,46,5,0,4,23,14,1273,22,2,16,4,36,30,0,0,6,1191,34,38,941,148,10,20,24,5,13,1,5,0,199,6,1,5,0,9,184,178,6,1,1,1,0,0,0,1295
"B21  8",7432,5576,4959,56,561,557,145,12,24,10,9,0,90,412,16,216,35,145,4,0,4,75,2,42,7,12,23,31,6,0,1,12,12,699,6,0,6,0,12,11,1,0,0,658,8,48,531,60,5,6,23,5,7,0,11,0,108,7,4,3,0,2,99,96,3,1,1,1,0,0,0,973
"B21  9",9814,7586,7021,32,533,529,239,14,15,12,8,1,189,290,12,187,13,78,4,2,2,82,7,53,15,10,28,22,2,1,1,7,11,957,25,9,13,3,6,5,0,0,1,903,20,52,639,182,2,8,23,8,6,0,9,0,136,3,0,3,1,5,127,116,11,1,1,1,0,0,2,1050
"B23  5",11691,8008,7559,188,261,258,100,15,9,11,2,2,61,158,3,112,15,28,3,2,1,114,4,59,4,44,11,51,0,0,14,28,9,129,5,2,1,2,11,11,0,0,0,97,8,9,44,32,4,0,16,7,2,0,7,0,64,13,2,11,0,1,50,45,5,2,2,2,0,0,0,3374
"B23  6",9881,7325,6776,181,368,359,103,5,12,6,7,9,64,256,9,182,12,53,9,0,9,135,7,63,0,38,25,65,2,1,2,39,21,194,3,2,1,0,33,32,0,0,1,130,6,3,78,39,4,0,28,15,5,2,6,0,57,9,3,6,0,4,44,38,6,5,5,5,0,0,0,2165
"B23  7",12767,9168,8596,161,411,386,136,16,16,22,15,5,62,250,11,176,22,41,25,3,22,117,4,69,17,27,25,44,3,0,3,27,11,287,14,8,3,3,48,44,0,1,3,205,4,19,79,102,1,0,20,7,7,0,6,0,102,2,1,1,0,2,98,89,9,3,3,1,2,0,0,3090
"B24  0",9009,6875,6541,177,157,151,47,4,13,5,6,3,16,104,2,77,2,23,6,1,5,38,2,15,3,8,4,21,0,0,2,14,5,93,13,6,0,7,10,7,0,3,0,63,0,9,34,15,3,2,7,6,0,0,1,0,33,10,3,7,0,1,22,19,3,4,4,3,1,0,0,1966
"B24  8",8490,6391,5944,104,343,335,132,11,34,10,15,5,57,203,6,140,20,37,8,1,7,101,6,63,6,45,12,32,5,0,5,14,8,187,7,7,0,0,27,25,1,1,0,138,0,5,54,74,2,3,15,6,5,0,4,0,55,10,4,6,1,6,38,36,2,2,2,2,0,0,2,1752
"B24  9",16444,13330,12496,319,515,507,93,13,7,6,5,2,60,414,25,299,13,77,8,3,5,114,1,50,8,28,14,63,5,0,2,33,23,248,12,5,3,4,29,25,1,1,2,185,5,9,89,76,5,1,22,7,7,0,8,0,85,23,4,19,1,7,54,49,5,5,5,2,3,0,0,2662
"B25  8",16149,12150,11413,225,512,497,252,9,35,15,9,7,177,245,24,148,19,54,15,1,14,102,11,26,4,15,7,65,9,2,9,19,26,551,7,1,2,4,15,8,1,4,2,516,18,70,139,283,5,1,13,5,1,0,7,0,56,12,5,7,0,2,42,39,3,2,2,2,0,0,0,3288
"B26  1",7689,5894,5658,128,108,104,40,0,4,4,3,3,26,64,5,47,2,10,4,3,1,15,3,0,0,0,0,12,2,0,1,2,7,154,6,1,0,5,4,3,0,1,0,141,1,18,53,58,2,9,3,0,2,1,0,0,9,6,2,4,0,1,2,2,0,0,0,0,0,0,0,1617
"B26  2",8209,5965,5764,125,76,74,34,8,7,2,1,1,15,40,3,23,3,11,2,1,1,28,4,15,3,9,3,9,0,0,4,4,1,100,0,0,0,0,11,8,0,0,3,79,2,4,27,46,0,0,10,0,9,0,1,0,18,1,1,0,1,1,15,14,1,0,0,0,0,0,0,2098
"B26  3",10604,8480,8127,199,154,139,75,7,10,16,4,1,37,64,1,48,1,14,15,2,13,48,6,18,6,9,3,24,0,0,2,16,6,132,5,2,0,3,6,4,1,1,0,111,1,12,58,35,4,1,7,2,2,1,2,3,27,5,2,3,0,3,19,18,1,0,0,0,0,0,0,1917
"B27  6",8733,6639,6173,183,283,270,82,17,6,4,3,7,45,188,14,137,2,35,13,0,13,35,8,6,2,3,1,21,3,0,0,9,9,279,5,1,0,4,12,11,0,0,1,229,3,11,77,137,0,1,32,1,25,1,5,1,26,5,2,3,0,3,18,16,2,7,6,5,1,1,0,1747
"B27  7",12312,8891,8197,305,389,370,148,30,14,12,3,4,85,222,8,168,7,39,19,2,17,47,1,14,1,5,8,32,1,0,7,9,15,330,9,1,1,7,12,10,0,2,0,295,7,25,111,139,13,0,14,0,9,1,4,0,30,17,4,13,0,2,11,11,0,4,4,3,1,0,0,3010
"B28  0",10062,8236,7809,299,128,124,85,13,18,9,1,2,42,39,1,15,8,15,4,0,4,32,8,6,2,3,1,18,2,0,1,6,9,211,10,0,8,2,1,1,0,0,0,191,1,7,108,74,1,0,9,0,0,0,9,0,32,18,1,17,1,1,12,11,1,1,1,1,0,0,0,1550
"B28  8",7521,6319,5944,177,198,186,113,24,4,13,12,5,55,73,6,47,8,12,12,1,11,23,2,5,0,3,2,16,3,0,2,5,6,257,7,1,1,5,7,7,0,0,0,231,5,10,79,136,1,0,12,10,1,0,1,0,14,6,1,5,0,2,6,6,0,1,1,1,0,0,0,907
"B28  9",6072,4928,4673,151,104,100,61,5,22,5,3,0,26,39,6,26,1,6,4,2,2,30,2,7,0,7,0,21,6,0,0,7,8,158,1,1,0,0,9,9,0,0,0,143,2,9,70,61,0,1,4,2,0,1,1,1,6,2,0,2,0,0,4,2,2,0,0,0,0,0,0,950
"B29  4",5125,3678,3569,36,73,66,44,5,5,2,1,4,27,22,1,10,1,10,7,0,7,73,29,15,3,7,5,29,1,0,9,10,9,164,35,18,4,13,59,22,1,0,36,51,3,4,34,10,0,0,19,7,6,0,6,0,13,10,0,10,0,1,2,1,1,4,4,3,1,0,0,1193
"B29  5",7696,4834,4649,61,124,105,56,1,13,4,11,3,24,49,6,24,7,12,19,1,18,51,4,27,2,21,4,20,0,0,2,10,8,126,22,11,4,7,28,18,2,0,8,42,2,1,21,12,6,0,34,15,16,0,3,0,26,9,1,8,0,4,13,11,2,2,2,1,1,0,0,2657
"B29  6",13614,10550,9972,155,423,380,199,38,28,19,16,11,87,181,25,52,39,65,43,19,24,238,19,137,28,92,17,82,12,0,8,34,28,1309,95,36,7,52,632,505,3,16,108,297,0,24,171,76,17,9,281,123,41,25,92,4,95,47,24,23,10,10,28,20,8,9,9,4,5,0,0,1413
"B29  7",9940,8247,7715,219,313,275,168,28,24,23,8,10,75,107,5,43,23,36,38,10,28,111,8,70,18,46,6,33,6,0,10,5,12,477,44,14,1,29,183,157,5,6,15,143,5,10,71,44,9,4,106,39,20,2,45,1,72,40,17,23,3,10,19,18,1,7,7,5,2,0,0,1026
"B3   1",6382,5584,5300,57,227,214,82,10,12,12,7,6,35,132,14,66,16,36,13,3,10,80,3,53,15,35,3,24,2,0,8,7,7,313,24,10,0,14,152,123,4,9,16,107,1,5,75,18,3,5,27,7,0,2,18,3,44,11,6,5,3,6,24,22,2,7,6,5,1,1,0,354
"B3   2",26354,24388,23616,231,541,523,212,23,42,38,16,25,68,311,22,188,14,87,18,2,16,159,2,91,11,62,18,66,12,0,9,20,25,408,16,8,2,6,82,67,2,7,6,270,3,13,183,60,10,1,38,17,10,0,11,2,122,49,12,37,3,9,61,54,7,23,23,13,10,0,3,1251
"B30  1",8623,6757,6572,90,95,91,76,12,11,13,6,1,33,15,2,6,2,5,4,0,4,34,5,8,1,4,3,21,3,0,1,9,8,72,3,3,0,0,20,8,0,2,10,33,1,4,16,5,7,0,15,5,6,1,3,1,31,16,7,9,0,3,12,10,2,10,9,5,4,1,4,1715
"B30  2",10506,8093,7751,150,192,176,101,14,15,17,9,11,35,75,11,41,6,17,16,3,13,70,5,25,5,19,1,40,6,0,2,25,7,227,10,5,1,4,23,20,1,2,0,132,4,23,58,45,1,1,62,15,40,0,7,0,30,12,3,9,2,6,10,9,1,12,10,9,1,2,0,2074
"B30  3",8871,6832,6552,100,180,172,86,2,12,11,10,5,46,86,4,61,3,18,8,1,7,84,1,31,11,13,7,52,2,0,9,17,24,128,7,4,1,2,14,7,0,2,5,86,0,10,52,23,1,0,21,11,5,0,5,0,27,12,3,9,0,2,13,12,1,2,2,2,0,0,0,1798
"B31  1",9050,6106,5917,88,101,92,50,5,12,3,7,0,23,42,0,19,5,18,9,0,9,64,3,35,8,20,7,26,0,1,5,13,7,170,20,4,3,13,59,27,0,1,31,52,2,3,31,11,4,1,39,18,17,0,4,0,23,6,0,6,0,2,15,13,2,1,1,1,0,0,0,2686
"B31  2",11589,8819,8516,180,123,111,72,7,12,13,5,5,30,39,2,20,5,12,12,0,12,78,7,25,4,13,8,46,0,0,1,30,15,185,23,13,1,9,48,22,1,3,22,94,1,2,61,24,6,0,20,14,4,0,2,0,35,12,6,6,1,3,19,15,4,1,1,1,0,0,0,2471
"B31  3",7750,5381,5239,86,56,50,26,1,8,3,3,3,8,24,5,9,8,2,6,0,6,37,1,19,5,10,4,17,0,0,1,9,7,48,6,0,4,2,8,4,0,0,4,20,0,2,10,7,1,0,14,4,7,0,3,0,14,3,0,3,0,0,11,7,4,1,1,1,0,0,0,2269
"B31  4",6939,4681,4552,72,57,55,46,6,1,9,8,1,21,9,0,5,1,3,2,0,2,37,0,22,3,16,3,15,1,0,1,9,4,44,4,1,0,3,11,11,0,0,0,20,3,3,9,4,1,0,8,1,6,0,1,1,18,5,0,5,0,2,11,11,0,5,5,3,2,0,0,2154
"B31  5",6788,4639,4454,101,84,81,40,1,7,9,4,5,14,41,3,18,7,13,3,1,2,50,1,25,7,13,5,24,2,0,4,13,5,77,16,5,5,6,28,7,1,0,20,17,1,2,7,4,3,0,16,0,11,0,5,0,26,8,2,6,0,1,17,15,2,2,2,1,1,0,0,1994
"B32  1",7967,6031,5812,86,133,128,49,8,9,7,0,1,24,79,10,54,0,15,5,0,5,43,1,29,6,15,8,13,1,0,1,9,2,134,19,11,1,7,8,5,0,2,1,95,3,2,70,11,0,9,12,2,7,1,2,0,23,6,3,3,0,1,16,16,0,3,3,3,0,0,0,1733
"B32  2",8972,6034,5698,109,227,220,127,19,7,6,19,9,67,93,8,44,17,24,7,0,7,100,6,54,9,29,16,40,3,2,6,15,14,193,31,18,1,12,18,16,0,0,2,117,11,6,65,29,4,2,26,9,6,0,11,1,38,4,2,2,0,1,33,32,1,0,0,0,0,0,0,2607
"B32  3",11263,7962,7681,95,186,178,69,12,17,5,1,5,29,109,4,79,2,24,8,3,5,108,2,50,7,37,6,56,6,0,7,28,15,144,8,4,2,2,28,12,0,16,0,57,2,1,32,22,0,0,51,4,39,0,8,0,50,13,3,10,0,6,31,25,6,3,3,3,0,0,0,2996
"B32  4",3615,2403,2354,27,22,21,8,4,1,1,1,0,1,13,3,10,0,0,1,0,1,17,0,7,1,3,3,10,2,0,0,7,1,18,9,9,0,0,0,0,0,0,0,9,0,0,2,5,2,0,0,0,0,0,0,0,18,6,1,5,1,1,10,10,0,2,0,0,0,2,0,1157
"B33  0",11800,8648,8321,120,207,202,71,1,6,8,1,2,53,131,5,91,7,28,5,2,3,39,0,22,0,15,7,17,0,0,4,7,6,111,2,1,1,0,4,4,0,0,0,85,6,6,29,43,0,1,20,5,13,0,2,0,19,7,1,6,0,2,10,8,2,5,5,4,1,0,0,2978
"B33  8",10289,7478,7033,158,287,281,197,12,1,4,9,7,164,84,5,48,17,14,6,1,5,56,1,28,0,16,12,27,1,0,3,16,7,254,1,1,0,0,9,6,0,0,3,215,15,16,39,145,0,0,29,5,21,0,3,0,44,9,3,6,0,9,26,23,3,1,1,1,0,0,0,2456
"B33  9",10541,7027,6756,99,172,167,74,6,6,5,8,1,48,93,7,68,7,11,5,0,5,58,5,20,6,6,8,33,3,0,4,21,5,217,4,3,0,1,9,6,0,0,3,186,4,10,37,132,3,0,18,1,15,1,1,0,40,3,1,2,0,4,33,26,7,1,1,1,0,0,0,3198
"B34  6",8430,5870,5688,77,105,91,59,9,11,2,0,6,31,32,0,22,0,10,14,0,14,38,3,20,3,10,7,15,3,0,1,7,4,157,7,0,7,0,11,9,0,0,2,129,2,2,15,109,1,0,10,3,5,0,2,0,25,3,0,3,0,1,21,20,1,0,0,0,0,0,0,2340
"B34  7",6511,4266,4160,64,42,42,19,0,4,4,1,1,9,23,3,14,1,5,0,0,0,14,1,6,2,2,2,7,0,0,0,7,0,38,0,0,0,0,4,2,0,0,2,29,7,1,5,14,2,0,5,0,2,0,3,0,16,3,0,3,0,0,13,13,0,0,0,0,0,0,0,2177
"B35  6",3372,2336,2275,35,26,26,10,2,0,0,4,1,3,16,1,6,7,2,0,0,0,17,2,8,0,6,2,7,1,0,0,6,0,9,1,1,0,0,2,2,0,0,0,5,0,0,2,1,0,2,1,0,0,0,1,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,1003
"B35  7",9627,7457,7259,85,113,109,36,2,7,4,1,6,16,73,6,51,0,16,4,1,3,30,1,12,2,7,3,17,2,0,0,11,4,32,1,0,1,0,2,2,0,0,0,26,0,1,14,9,1,1,3,1,2,0,0,0,21,3,1,2,0,2,16,15,1,3,3,1,2,0,0,2084
"B36  0",9823,7040,6910,95,35,34,21,0,5,5,0,1,10,13,0,9,0,4,1,0,1,20,2,3,0,1,2,15,0,0,2,6,7,37,0,0,0,0,5,4,1,0,0,29,0,2,10,15,2,0,3,1,1,0,1,0,21,5,0,5,0,0,16,13,3,4,4,2,2,0,0,2701
"B36  8",10852,8053,7585,105,363,294,219,14,8,18,12,1,166,75,0,38,21,16,69,0,69,149,9,110,9,66,35,30,0,0,4,15,11,285,9,1,1,7,10,10,0,0,0,254,14,15,37,186,2,0,12,2,7,1,2,0,20,4,2,2,0,0,16,13,3,3,0,0,0,3,2,2340
"B36  9",6329,4943,4860,53,30,30,15,4,2,1,1,0,7,15,1,10,0,4,0,0,0,17,5,4,3,1,0,8,1,0,2,1,4,22,2,1,1,0,3,2,0,0,1,14,7,5,1,1,0,0,3,0,0,1,2,0,8,5,3,2,0,0,3,2,1,0,0,0,0,0,0,1339
"B37  5",9236,6561,6404,103,54,46,19,3,3,4,0,4,5,27,1,16,3,7,8,1,7,39,3,21,0,4,17,15,1,0,1,6,7,45,1,1,0,0,3,2,0,0,1,33,5,1,20,5,2,0,8,2,2,0,4,0,13,1,0,1,0,2,10,8,2,1,1,1,0,0,0,2577
"B37  6",9034,6169,6014,91,64,64,15,2,3,1,1,3,5,49,2,29,6,12,0,0,0,25,0,11,2,3,6,14,4,0,0,10,0,32,2,2,0,0,5,2,0,3,0,21,0,1,8,10,2,0,4,1,0,0,3,0,20,11,1,10,0,3,6,6,0,1,1,1,0,0,0,2787
"B37  7",17040,13550,13100,152,298,291,97,15,12,20,12,11,27,194,13,133,7,41,7,3,4,57,4,16,2,10,4,37,3,0,6,20,8,108,4,1,0,3,12,7,0,3,2,79,1,3,55,13,6,1,12,5,4,0,3,1,45,20,6,14,1,3,21,21,0,6,6,3,3,0,0,3274
"B38  0",1886,1298,1260,20,18,18,6,1,1,0,0,1,3,12,0,5,1,6,0,0,0,17,0,4,1,2,1,13,1,0,2,8,2,19,0,0,0,0,1,1,0,0,0,8,0,2,5,1,0,0,10,0,10,0,0,0,7,3,0,3,0,0,4,4,0,0,0,0,0,0,0,545
"B38  8",8249,6280,6081,111,88,78,46,5,14,4,2,1,20,32,0,21,2,9,10,1,9,46,0,18,6,7,5,28,2,0,3,17,6,58,9,7,1,1,14,12,0,1,1,23,0,0,17,6,0,0,10,1,9,0,0,2,20,7,1,6,0,4,9,9,0,5,5,5,0,0,0,1840
"B38  9",8046,4988,4802,90,96,94,62,11,2,3,1,2,43,32,0,22,0,10,2,1,1,40,1,20,3,11,6,19,0,0,3,10,6,52,8,5,1,2,1,1,0,0,0,30,4,1,12,5,5,3,12,3,6,0,3,1,28,2,1,1,0,1,25,23,2,1,1,1,0,0,0,2937
"B4   6",342,254,235,3,16,15,11,3,1,3,1,1,2,4,1,3,0,0,1,0,1,7,1,4,0,2,2,2,0,0,1,1,0,36,7,3,0,4,19,15,1,0,3,8,1,0,5,1,0,1,2,1,0,0,1,0,5,2,1,1,0,1,2,2,0,0,0,0,0,0,0,40
"B4   7",26807,23883,22488,264,1131,1074,469,79,110,45,33,28,174,605,40,288,36,241,57,9,48,282,22,154,22,114,18,106,16,0,19,39,32,1045,50,23,3,24,455,377,27,9,42,416,2,9,287,94,19,5,109,48,10,11,40,15,184,105,79,26,4,21,54,46,8,27,27,20,7,0,8,1378
"B42  1",9775,7762,7420,111,231,222,70,11,7,9,2,7,34,152,7,117,1,27,9,2,7,59,0,43,7,20,16,16,1,0,1,5,9,303,4,3,1,0,20,16,0,0,4,276,0,32,175,66,3,0,3,2,0,1,0,0,44,6,1,5,0,4,34,33,1,2,2,2,0,0,0,1605
"B42  2",16041,12939,12242,166,531,519,99,21,13,10,4,5,46,420,20,319,8,73,12,2,10,136,6,75,6,63,6,55,1,0,3,29,22,381,10,4,0,6,140,129,2,4,5,195,6,20,135,31,3,0,35,14,8,1,12,1,71,17,5,12,0,3,51,49,2,3,3,2,1,0,2,2509
"B43  5",7383,5628,5425,71,132,130,37,5,9,4,7,3,9,93,7,62,1,23,2,0,2,35,4,20,3,15,2,11,2,0,1,6,2,155,7,4,2,1,9,8,0,1,0,135,0,8,112,14,1,0,4,1,2,0,1,0,16,3,1,2,0,0,13,12,1,1,1,1,0,0,0,1548
"B43  6",4935,4085,4002,52,31,31,11,1,1,2,4,0,3,20,0,8,2,10,0,0,0,14,1,4,1,2,1,9,4,0,1,1,3,103,3,2,1,0,2,1,0,1,0,96,0,3,88,5,0,0,2,2,0,0,0,0,14,5,0,5,0,1,8,8,0,0,0,0,0,0,0,719
"B43  7",7493,5842,5713,66,63,62,33,5,4,7,2,4,11,29,6,15,4,4,1,1,0,21,0,12,0,5,7,9,0,0,3,5,1,66,0,0,0,0,6,6,0,0,0,55,0,5,46,4,0,0,5,5,0,0,0,0,21,13,2,11,0,1,7,6,1,0,0,0,0,0,0,1543
"B44  0",12377,7419,7047,148,224,203,102,11,12,6,5,2,66,101,4,65,8,24,21,0,21,81,1,46,4,27,15,34,4,0,4,20,6,79,11,6,1,4,6,6,0,0,0,55,2,7,24,21,1,0,7,1,2,0,4,0,48,6,1,5,0,4,38,36,2,3,3,1,2,0,0,4747
"B44  8",9241,7215,6966,105,144,140,46,5,8,7,3,1,22,94,1,55,3,35,4,0,4,37,2,15,4,7,4,20,1,0,2,7,10,129,2,2,0,0,11,8,0,0,3,100,4,9,68,19,0,0,16,7,6,0,3,0,36,9,2,7,1,1,25,23,2,1,0,0,0,1,0,1823
"B44  9",9493,6688,6423,154,111,106,27,3,7,2,4,1,10,79,7,51,2,19,5,0,5,30,2,8,0,8,0,20,0,0,6,10,4,73,1,1,0,0,17,17,0,0,0,50,1,7,36,5,1,0,4,0,1,0,3,1,23,5,3,2,0,1,17,16,1,2,0,0,0,2,0,2677
"B45  0",5460,3344,3258,60,26,26,10,1,1,1,0,0,7,16,0,10,2,4,0,0,0,32,1,16,3,9,4,15,0,0,1,14,0,32,1,1,0,0,5,5,0,0,0,16,3,1,6,6,0,0,9,2,7,0,0,1,14,6,1,5,0,3,5,5,0,0,0,0,0,0,0,2038
"B45  8",8141,6450,6338,50,62,51,30,6,8,2,1,2,11,21,0,13,2,6,11,0,11,11,0,7,0,5,2,4,0,0,1,3,0,55,0,0,0,0,26,24,0,1,1,13,1,0,8,4,0,0,16,5,9,0,2,0,15,7,2,5,0,0,8,7,1,5,5,5,0,0,0,1605
"B45  9",11765,8898,8679,78,141,130,55,9,5,18,8,2,13,75,3,43,9,20,11,0,11,75,6,39,13,15,11,30,1,0,3,16,10,79,4,4,0,0,13,8,2,1,2,45,0,1,31,9,2,2,17,2,9,1,5,0,27,5,2,3,0,11,11,9,2,5,5,3,2,0,0,2681
"B46  1",9315,8117,7818,62,237,230,52,9,6,8,7,4,18,178,9,158,1,10,7,1,6,22,0,10,2,5,3,12,2,0,4,3,3,33,0,0,0,0,2,2,0,0,0,24,1,1,14,8,0,0,7,1,2,0,4,0,11,4,0,4,0,1,6,6,0,2,2,1,1,0,0,1130
